,ANSICODE,HYDROID,FULLNAME,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,geometry
246621,,110378324292,Jefferson Waterworks,H2030,0.0,85261.0,+41.7536773,-80.7978923,"POLYGON ((-80.79990399999997 41.754804000000036, -80.79657299999997 41.75471200000004, -80.79516799999999 41.75368300000008, -80.79745999999994 41.75203600000003, -80.79990399999997 41.754804000000036))"
246623,,110378324297,,H2030,0.0,12502.0,+41.8618178,-80.7046527,"POLYGON ((-80.70548199999996 41.862122000000056, -80.70456399999995 41.862442000000044, -80.70379799999995 41.86109300000004, -80.70511399999998 41.86155000000008, -80.70548199999996 41.862122000000056))"
246624,,110378324301,,H2030,0.0,8170.0,+41.8663275,-80.6649916,"POLYGON ((-80.66547999999995 41.86633200000006, -80.66486799999996 41.866881000000035, -80.66425599999997 41.86667500000004, -80.66511299999996 41.86564500000003, -80.66547999999995 41.86633200000006))"
246626,,110378324306,,H2030,0.0,28349.0,+41.8236796,-80.6808417,"POLYGON ((-80.68204199999997 41.82318600000008, -80.68063399999994 41.824673000000075, -80.67889099999996 41.82403300000004, -80.68201099999999 41.822020000000066, -80.68204199999997 41.82318600000008))"
246628,,110378324310,,H2030,0.0,14995.0,+41.7549823,-80.7094653,"POLYGON ((-80.71070599999996 41.75535200000007, -80.70890399999996 41.75539800000007, -80.70835299999999 41.75459700000005, -80.70997299999993 41.75452800000005, -80.71070599999996 41.75535200000007))"
246677,,110378324344,,H2030,0.0,7922.0,+41.8280823,-80.5347873,"POLYGON ((-80.53540899999996 41.82794300000006, -80.53479699999997 41.82853700000004, -80.53415399999994 41.82844600000004, -80.53479699999997 41.827645000000075, -80.53540899999996 41.82794300000006))"
246680,,110378324352,,H2030,0.0,4515.0,+41.9140772,-80.5830546,"POLYGON ((-80.58364499999999 41.91416600000008, -80.58300099999997 41.91434900000007, -80.58238899999998 41.91418900000008, -80.58309299999996 41.91380000000004, -80.58364499999999 41.91416600000008))"
246682,,110378324357,,H2030,0.0,24062.0,+41.8912874,-80.5933594,"POLYGON ((-80.59502699999996 41.89103400000005, -80.59254799999997 41.89185800000007, -80.59153699999996 41.89094400000005, -80.59511899999995 41.89080500000006, -80.59502699999996 41.89103400000005))"
246688,,110378324374,,H2030,0.0,21077.0,+41.9414574,-80.5676625,"POLYGON ((-80.56879299999997 41.941414000000066, -80.56771999999995 41.94210100000004, -80.56600499999996 41.94107100000008, -80.56873099999996 41.94056800000004, -80.56879299999997 41.941414000000066))"
246690,,110378324379,,H2030,0.0,28470.0,+41.7176851,-80.7851139,"POLYGON ((-80.78659699999997 41.71799800000008, -80.78418499999998 41.71824900000007, -80.78366599999998 41.717516000000046, -80.78589499999998 41.71715100000006, -80.78659699999997 41.71799800000008))"
246697,,110378324393,,H2030,0.0,5194.0,+41.8530161,-80.9811528,"POLYGON ((-80.98186899999996 41.85314600000004, -80.98098099999999 41.85332900000003, -80.98058299999997 41.85264300000006, -80.98186899999996 41.85303200000004, -80.98186899999996 41.85314600000004))"
246743,,110378324396,,H2030,0.0,14458.0,+41.8081219,-80.8857063,"POLYGON ((-80.88664499999999 41.80814300000003, -80.88523799999996 41.808692000000065, -80.88456599999995 41.80857700000007, -80.88649299999997 41.807457000000056, -80.88664499999999 41.80814300000003))"
265468,,110456527042,,H2030,0.0,2863.0,+41.7071774,-81.0899371,"POLYGON ((-81.09037499999994 41.707463000000075, -81.08985199999995 41.707426000000055, -81.08963599999998 41.70677800000004, -81.08988599999998 41.70674600000007, -81.09037499999994 41.707463000000075))"
265689,,110456527419,,H2030,0.0,2083.0,+41.7049017,-81.0880655,"POLYGON ((-81.08865199999997 41.70505600000007, -81.08819399999999 41.705080000000066, -81.08740899999998 41.70463500000005, -81.08840299999997 41.704878000000065, -81.08865199999997 41.70505600000007))"
399268,,110470291966,,H2030,0.0,8794.0,+41.9469587,-80.4536437,"POLYGON ((-80.45429699999994 41.94691400000005, -80.45349599999997 41.94741700000003, -80.45277099999998 41.94676500000003, -80.45460999999995 41.94654000000003, -80.45429699999994 41.94691400000005))"
399312,,110470292485,,H2030,0.0,795.0,+41.8672130,-80.5016457,"POLYGON ((-80.50191299999994 41.86720900000006, -80.50138699999997 41.867342000000065, -80.50128099999995 41.86728500000004, -80.50181399999997 41.86706000000004, -80.50191299999994 41.86720900000006))"
399319,,110470292026,,H2030,0.0,8635.0,+41.9389010,-80.5030181,"POLYGON ((-80.50366199999996 41.938578000000064, -80.50330299999996 41.93938300000008, -80.50243999999998 41.93916600000006, -80.50250799999998 41.938551000000075, -80.50366199999996 41.938578000000064))"
399350,,110470292500,,H2030,0.0,800.0,+41.8745308,-80.5158530,"POLYGON ((-80.51609099999996 41.87452100000007, -80.51578499999994 41.874678000000074, -80.51563299999998 41.87460500000003, -80.51596799999999 41.87436900000006, -80.51609099999996 41.87452100000007))"
399356,,110470292524,,H2030,0.0,3244.0,+41.9091404,-80.4614867,"POLYGON ((-80.46206499999994 41.90920600000004, -80.46178199999997 41.90934600000003, -80.46109499999994 41.909399000000064, -80.46117899999996 41.90881200000007, -80.46206499999994 41.90920600000004))"
